STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
802,E 15TH AV,5,Stanislawa Smolen,1,"[49.2570673, -123.0871253]"
1858,E 15TH AV,5,Donald M Pallesen (Donald Pallesen),2,"[49.2568099, -123.066744]"
50,E 16TH AV,34,Seto Investments Inc,1,"[49.2566169, -123.1048525]"
330,E 36TH AV,117,Little Mtn Residential Care & Housing Society,3,"[49.2380659, -123.0999089]"
2001,E 36TH AV,8,Hardip Pawa & Surinder Pawa,4,"[49.2375401, -123.065219]"
1995,E 39TH AV,7,Eddie Yen & Sandra Yen et al,1,"[49.23449369999999, -123.0655238]"
1357,E 41ST AV,7,Larry Hoy,4,"[49.2327841, -123.0781865]"
1439,E 41ST AV,5,Centr O Mart Ltd,1,"[49.2327613, -123.0758782]"
447,E 6TH AV,54,447 Development Inc,1,"[49.2654564, -123.0940938]"
801,E 6TH AV,188,262109 B C Ltd,12,"[49.2652462, -123.0870184]"
858,E 6TH AV,5,Donato Spennati & Irene Spennati,1,"[49.26520499999999, -123.0862861]"
1555,E 6TH AV,44,Nacel Properties Ltd,7,"[49.2651819, -123.0725376]"
1602,E 6TH AV,12,Godwin Cheong-Wah Cheng & Christina Wai-Ming Lee,3,"[49.2650271, -123.07321]"
537,E 7TH AV,9,Acona Investments Ltd,3,"[49.2643707, -123.0922692]"
156,E 8TH AV,12,C B T Holdings Ltd,4,"[49.2636929, -123.1010346]"
456,E 8TH AV,15,Ludvik Rener,1,"[49.2634586, -123.0941441]"
730,E 8TH AV,37,Gene Lee & Shirley Lee,6,"[49.2634179, -123.0891188]"
1457,E 8TH AV,22,Lawrence Lenard Te (Lawrence Te),3,"[49.2633209, -123.0745453]"
756,E BROADWAY,6,Shu Tse & Sara Chan,1,"[49.2624722, -123.0878279]"
919,E BROADWAY,12,Linda Dodd,5,"[49.2624546, -123.0847572]"
1209,E BROADWAY,37,Cameo Concepts Corp,1,"[49.2624047, -123.0798134]"
1383,E BROADWAY,30,0907682 BC Ltd,3,"[49.26237709999999, -123.0756498]"
50,E CORDOVA ST,39,Southwood Ventures Inc,103,"[49.2823632, -123.1030972]"
54,E CORDOVA ST,35,Provincial Rental Housing Corporation,10,"[49.2823617, -123.1030169]"
139,E CORDOVA ST,46,Betty Shiao Bing Wu (Betty Wu),4,"[49.2823286, -123.1006963]"
420,E CORDOVA ST,65,Metro Vancouver Housing Corporation,18,"[49.2821855, -123.0947987]"
208,E GEORGIA ST,73,Atira Women's Resource Society,37,"[49.27856490000001, -123.0996406]"
221,E GEORGIA ST,14,Casu Holdings Ltd,3,"[49.2785774, -123.0990208]"
224,E GEORGIA ST,12,Yee Fung Toy Society of Canada,1,"[49.27854869999999, -123.0987736]"
249,E GEORGIA ST,18,249 East Georgia Street Holdings Ltd,6,"[49.2785598, -123.0980765]"
291,E GEORGIA ST,34,David Lam,5,"[49.2785439, -123.0972235]"
16,E HASTINGS ST,90,PHS Community Services Society,11,"[49.28142219999999, -123.1039153]"
25,E HASTINGS ST,70,Dodson Neighbourhood House Foundation,37,"[49.28133099999999, -123.1042412]"
52,E HASTINGS ST,55,Provincial Rental Housing Corporation,15,"[49.2813949, -123.1030688]"
103,E HASTINGS ST,19,Potter's Place Mission Society,2,"[49.2815427, -123.1038213]"
122,E HASTINGS ST,102,Man Kei Enterprises Ltd,18,"[49.2812336, -123.1020622]"
160,E HASTINGS ST,158,Triville Enterprises Ltd,7,"[49.2811953, -123.1008035]"
177,E HASTINGS ST,85,PHS Community Services Society,12,"[49.2813644, -123.1003972]"
235,E HASTINGS ST,74,0771168 BC Ltd,129,"[49.281348, -123.0995409]"
237,E HASTINGS ST,60,The Natives Of Toi Shan Benevolent Society,39,"[49.28143679999999, -123.0986943]"
241,E HASTINGS ST,17,Robert Leung and Doug Chang,23,"[49.2813309, -123.0985984]"
261,E HASTINGS ST,51,Provincial Rental Housing Corporation,35,"[49.2813218, -123.0980965]"
341,E HASTINGS ST,26,Summer Hotel Ltd,32,"[49.28129310000001, -123.096578]"
344,E HASTINGS ST,113,BC Housing Corporation,30,"[49.2811282, -123.0963962]"
367,E HASTINGS ST,33,Kam C Woo & Lin D Woo,36,"[49.2812819, -123.0960062]"
456,E HASTINGS ST,52,Provincial Rental Housing Corporation,3,"[49.2809608, -123.0942321]"
561,E HASTINGS ST,54,Pepple Enterprises Ltd,132,"[49.2812199, -123.0919825]"
769,E HASTINGS ST,82,Yang-Myung Hotel Management Ltd,1,"[49.2811432, -123.0879271]"
786,E HASTINGS ST,44,Kim Thanh Nguyen (Kim Nguyen),16,"[49.2809844, -123.0875662]"
1190,E HASTINGS ST,30,TLA Enterprises Limited,3,"[49.2810563, -123.0792212]"
3570,E HASTINGS ST,14,Kathed Holdings Ltd,7,"[49.281009, -123.0268646]"
33,E PENDER ST,14,Yue Shan Society,2,"[49.2804974, -123.1036978]"
139,E PENDER ST,34,Shun Chi Company Ltd,2,"[49.2805188, -123.1009344]"
258,E PENDER ST,120,May Wah Enterprises Ltd,6,"[49.2802881, -123.098239]"
431,E PENDER ST,34,Baolu Housing Development Corporation,6,"[49.2803683, -123.0946279]"
